dateCol	mileageCol
12/16/2016	5
12/20/2016	173
12/24/2016	267
12/26/2016	278
12/27/2016	297
12/28/2016	347
12/29/2016	376
12/30/2016	396
12/31/2016	425
1/2/2017	452
1/3/2017	513
1/4/2017	532
1/5/2017	564
1/6/2017	572
1/9/2017	656
1/10/2017	744
1/11/2017	927
1/12/2017	1036
1/13/2017	1145
1/16/2017	1278
1/17/2017	1368
1/18/2017	1413
1/19/2017	1520
1/20/2017	1539
1/23/2017	1680
1/24/2017	1771
1/25/2017	1839
1/26/2017	1954
1/28/2017	1978
1/30/2017	2045
1/31/2017	2098
2/1/2017	2116
2/2/2017	2157
2/3/2017	2171
2/4/2017	2192
2/5/2017	2618
2/6/2017	3065
2/7/2017	3111
2/8/2017	3171
2/9/2017	3186
2/10/2017	3202
2/11/2017	3229
2/13/2017	3248
2/14/2017	3272
2/15/2017	3288
2/16/2017	3306
2/17/2017	3333
2/18/2017	3352
